Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train time (s)
Logistic Regression (Tuned),0.9430147058823529,0.9375,0.9154929577464789,0.9263657957244655,0.972908954228898,7.382
Logistic Regression (Untuned),0.9283088235294118,0.910377358490566,0.9061032863849765,0.908235294117647,0.9682283023417443,0.097
Random Forest (Tuned),0.9283088235294118,0.9438775510204082,0.8685446009389671,0.9046454767726161,0.9650369487823214,52.2
Random Forest (Untuned),0.9264705882352942,0.9346733668341709,0.8732394366197183,0.9029126213592233,0.9628951959491086,1.102
Gradient Boosting (Tuned),0.9246323529411765,0.9215686274509803,0.8826291079812206,0.9016786570743405,0.967760237153029,113.716
Gradient Boosting (Untuned),0.9227941176470589,0.9211822660098522,0.8779342723004695,0.8990384615384616,0.9658028736365828,0.983
KNN (Tuned),0.8786764705882353,0.92,0.755868544600939,0.8298969072164949,0.92295363317873,7.948
KNN (Untuned),0.8786764705882353,0.92,0.755868544600939,0.8298969072164949,0.92295363317873,0.076
Baseline (Majority Class),0.6084558823529411,0.0,0.0,0.0,0.5,0.051
